Engine Speed,Vehicle Speed,Gear
3003.218914,24.143938,1.0
3043.590737,24.642518,1.0
3083.29983,25.140326,1.0
3125.737679,25.633492,1.0
3170.653489,26.122228,1.0
3214.625722,26.609739,1.0
3260.274738,27.094069,1.0
3303.338647,27.57848,1.0
3350.802182,28.057444,1.0
3394.290306,28.538627,1.0
3438.46329,29.016257,1.0
3483.45631,29.49228,1.0
3525.730751,29.968421,1.0
3569.529782,30.440956,1.0
3618.721181,30.906114,1.0
3661.347722,31.375852,1.0
3707.988395,31.83767,1.0
3750.506407,32.300619,1.0
3795.978557,32.757748,1.0
3837.978653,33.215414,1.0
3881.049911,33.668178,2.0
3060.425933,34.82796,2.0
2921.18375,35.305346,2.0
2882.538542,35.687036,2.0
2878.082349,36.036208,2.0
2886.637173,36.37083,2.0
2898.150339,36.700451,2.0
2909.450006,37.027123,2.0
2922.25921,37.350779,2.0
2933.910557,37.672493,2.0
2947.198435,37.991054,2.0
2961.715561,38.307329,2.0
2975.30843,38.622274,2.0
2988.388602,38.935708,2.0
3001.087014,39.247776,2.0
3013.521519,39.558329,2.0
3028.134728,39.86701,2.0
3043.006409,40.1748,2.0
3057.828786,40.481942,2.0
3073.528862,40.788466,2.0
3088.784729,41.0714,2.0
3101.54029,41.354918,2.0
3115.159961,41.637465,2.0
3128.868838,41.919641,2.0
3142.626365,42.201541,2.0
3156.685512,42.482474,2.0
3173.378294,42.76178,2.0
3187.778153,43.041789,2.0
3202.77832,43.320585,2.0
3217.724459,43.598763,2.0
3232.929885,43.876344,2.0
3247.094166,44.153508,2.0
3264.382324,44.428926,2.0
3278.462347,44.705535,2.0
3293.543566,44.980439,2.0
3309.466791,45.25466,2.0
3325.120315,45.529003,2.0
3339.495247,45.803252,2.0
3355.037629,46.076345,2.0
3370.337195,46.349018,2.0
3386.034399,46.620967,2.0
3401.097182,46.892644,2.0
3417.654799,47.163502,2.0
3432.421809,47.435005,2.0
3447.830451,47.705488,2.0
3462.445779,47.975631,2.0
3478.232206,48.244765,2.0
3493.255873,48.514027,2.0
3507.80419,48.782755,2.0
3523.340402,49.05059,2.0
3538.120185,49.318471,2.0
3553.52429,49.585764,2.0
3567.95891,49.853062,2.0
3582.946685,50.11956,2.0
3597.420484,50.385797,2.0
3612.354844,50.651377,2.0
3625.883747,50.916744,2.0
3644.2918,51.179088,2.0
3655.949789,51.444154,2.0
3675.708634,51.70377,2.0
3686.001821,51.967884,2.0
3706.56574,52.2252,2.0
3716.33267,52.488056,2.0
3736.949272,52.743784,2.0
3746.441009,53.028777,2.0
3769.103217,53.305057,2.0
3779.75212,53.587778,2.0
3801.652369,53.863423,2.0
3811.982727,54.144661,2.0
3833.095893,54.418772,2.0
3846.129684,54.674064,2.0
3860.46456,54.950467,2.0
3878.62264,55.200857,2.0
3889.074937,55.454421,2.0
3906.484252,55.703102,2.0
3918.463789,55.954283,2.0
3934.602256,56.202379,2.0
3948.650273,56.451746,2.0
3961.813174,56.700254,2.0
3976.937439,56.947119,2.0
3989.335913,57.194367,2.0
4004.995265,57.439378,3.0
3186.471907,58.125722,3.0
3067.520506,58.36833,3.0
3059.434283,58.552105,3.0
3068.232248,58.729117,3.0
3073.200052,58.907197,3.0
3079.590652,59.084604,3.0
3085.357837,59.261993,3.0
3091.285968,59.43909,3.0
3098.172221,59.639589,3.0
3104.39732,59.839953,3.0
3111.732058,60.039906,3.0
3117.872401,60.23994,3.0
3124.172071,60.439542,3.0
3130.545746,60.638793,3.0
3137.789197,60.837735,3.0
3143.968453,61.036749,3.0
3150.627655,61.235383,3.0
3156.907465,61.433853,3.0
3163.866681,61.631797,3.0
3170.720808,61.829178,3.0
3179.387995,62.025958,3.0
3186.518401,62.223219,3.0
3193.218108,62.420053,3.0
3200.955248,62.616229,3.0
3208.597279,62.81237,3.0
3215.15299,63.008424,3.0
3222.78513,63.203778,3.0
3230.563162,63.399068,3.0
3237.338995,63.594383,3.0
3244.45587,63.789158,3.0
3251.766439,63.983606,3.0
3258.493951,64.177813,3.0
3267.080063,64.371275,3.0
3274.088074,64.565184,3.0
3281.25629,64.758545,3.0
3288.89071,64.951479,3.0
3296.849699,65.144292,3.0
3304.749046,65.337192,3.0
3310.563425,65.530143,3.0
3319.191397,65.721873,3.0
3326.411482,65.914136,3.0
3332.857396,66.106066,3.0
3341.425529,66.29721,3.0
3347.738215,66.488871,3.0
3356.459983,66.679686,3.0
3361.891723,66.871122,3.0
3370.471186,67.061209,3.0
3376.751212,67.251827,3.0
3385.714409,67.44138,3.0
3391.553705,67.631688,3.0
3400.210274,67.820665,3.0
3407.655953,68.010213,3.0
3414.556726,68.199523,3.0
3421.892263,68.388251,3.0
3429.98595,68.576702,3.0
3436.243005,68.765379,3.0
3444.273665,68.953095,3.0
3450.907123,69.141023,3.0
3458.905596,69.328267,3.0
3465.64894,69.51572,3.0
3473.248604,69.702583,3.0
3480.315213,69.88942,3.0
3488.228348,70.075898,3.0
3495.930397,70.262562,3.0
3501.351102,70.449278,3.0
3509.685178,70.634631,3.0
3517.36839,70.820466,3.0
3524.281425,71.006373,3.0
3530.582881,71.191878,3.0
3538.16437,71.376624,3.0
3545.179501,71.561415,3.0
3552.914015,71.745911,3.0
3559.38775,71.930557,3.0
3566.186361,72.114593,3.0
3573.657927,72.298234,3.0
3581.221399,72.481898,3.0
3588.443989,72.665641,3.0
3595.079236,72.84926,3.0
3601.96894,73.032415,3.0
3608.189485,73.215272,3.0
3615.766824,73.397452,3.0
3622.494466,73.579767,3.0
3629.172724,73.761724,3.0
3635.393305,73.943305,3.0
3643.627143,74.124118,3.0
3649.171912,74.30531,3.0
3658.651869,74.484629,3.0
3663.343562,74.66542,3.0
3674.062466,74.843672,3.0
3678.425892,75.024448,3.0
3687.654082,75.202439,3.0
3692.674976,75.381729,3.0
3702.932884,75.558861,3.0
3706.858929,75.738149,3.0
3717.411604,75.914422,3.0
3721.740973,76.093103,3.0
3730.612976,76.269141,3.0
3736.586166,76.446245,3.0
3744.840193,76.622091,3.0
3750.373917,76.798522,3.0
3759.951701,76.973393,3.0
3763.592843,77.149915,3.0
3773.145423,77.323427,3.0
3778.465629,77.498602,3.0
3786.746505,77.672134,3.0
3792.792101,77.846348,3.0
3800.590888,78.019523,3.0
